type	study.phs_accession	participant.study_participant_id	sample.sample_id	file_name	file_type	file_description	file_size	md5sum	file_url_in_cds	experimental_strategy_and_data_subtypes	submission_version	file_id
file	phs0001	UAT-CASE-537737	ICBI-000010-02	Tumor_3-set_1-label_118-frac_2-F14.wiff.scan	TAR	sapiens_qui_prospicit	455427596	5eb5bd98ae6105516381bad3f1092d81	id_quod_plerumque_accidit	Pathological	Gallia_est_omnis_divisa_in_partes_tres	dg.4DFC/8dff4207-c7b8-547b-b99b-a5fc76f7fcdc
file	phs0001	UAT-CASE-537737	ICBI-000010-02	Tumor_3-set_1-label_118-frac_2-F14.wiff	TAR	scientia_imperii_decus_et_tutamen	45277184	ccbefebe5b94eb51eef294ec65b7a48e	labor_ipse_voluptas	Pathological	scientia_et_labor	dg.4DFC/52d93c3f-3170-5e09-81a3-9996848cfeb5
file	phs0001	UAT-CASE-537737	ICBI-000010-02	Tumor_3-set_1-label_118-frac_1-F6.wiff.scan	TAR	barba_crescit_caput_nescit	504319616	4a45dea5d77ba1ea6557869772e678f1	Macte_animo_Generose_puer_sic_itur_ad_astra	Pathological	barba_crescit_caput_nescit	dg.4DFC/c61c565f-531e-568b-8a4b-05f2778596c6
file	phs0001	UAT-CASE-537737	ICBI-000010-02	Tumor_3-set_1-label_118-frac_1-F6.wiff	TAR	faber_est_suae_quisque_fortunae	47112192	e3d6cd84f463deecc0868bec8f60b6b1	labor_ipse_voluptas	Pathological	imperium_in_imperio	dg.4DFC/34372da1-a0fd-52e1-8eca-ae7cec5daf07
file	phs0001	UAT-CASE-105229	ICBI-000010-01	Tumor_2-set_1-label_117-frac_3-F21.wiff.scan	TAR	id_quod_plerumque_accidit	450735308	6053b2ff376f7fbe9dd8e2867657f644	salus_in_arduis	Pathological	nanos_gigantum_humeris_insidentes	dg.4DFC/0cdeefbe-446d-5e91-b4f9-88eaa8bcf68d
file	phs0001	UAT-CASE-105229	ICBI-000010-01	Tumor_2-set_1-label_117-frac_3-F21.wiff	TAR	haec_olim_meminisse_iuvabit	44056576	5564775b39eb77a3eac010e683f0783a	salus_in_arduis	Pathological	scientiae_cedit_mare	dg.4DFC/2840dcbe-ce44-5885-aa06-bd58684c4587
file	phs0001	UAT-CASE-105229	ICBI-000010-01	Tumor_2-set_1-label_117-frac_2-F13.wiff.scan	TAR	sapiens_qui_prospicit	491059268	50481be76a9c43f73dc1eafa0be7840a	imperium_in_imperio	Pathological	salus_in_arduis	dg.4DFC/d074aa39-164c-53a2-9d1e-366a9f036cee
file	phs0001	UAT-CASE-105229	ICBI-000010-01	Tumor_2-set_1-label_117-frac_2-F13.wiff	TAR	scientia_et_sapientia	45891584	87ab7f490806316fac350944aeab2972	saltus_in_demonstrando	Pathological	nascentes_morimur_finisque_ab_origine_pendet	dg.4DFC/4ff07ca4-79a9-5ba7-bc97-34b1d90b0568
file	phs0001	UAT-CASE-596956	ICBI-000009-02	Tumor_2-set_1-label_117-frac_1-F5.wiff.scan	TAR	nascentes_morimur_finisque_ab_origine_pendet	511132328	21a41a6ad374d74491b05608544721a7	scientia_et_labor	Pathological	nanos_gigantum_humeris_insidentes	dg.4DFC/e2e3a11e-e5b9-50cc-88a1-036fe650f4cd
file	phs0001	UAT-CASE-596956	ICBI-000009-02	Tumor_2-set_1-label_117-frac_1-F5.wiff	TAR	scientia_et_sapientia	49205248	1aed10d863e4f0ab7cf422cf7fd4cdd1	scientia_et_sapientia	Pathological	a_bene_placito	dg.4DFC/7178257b-7f8a-5215-87ea-19120dc9aaf7
file	phs0001	UAT-CASE-596956	ICBI-000009-02	Tumor_1-set_1-label_116-frac_3-F20.wiff.scan	TAR	Gallia_est_omnis_divisa_in_partes_tres	434181180	b2641ba2f9d26cefd8a46f7fbacf00c7	damnant_quod_non_intellegunt	Pathological	scientia_et_sapientia	dg.4DFC/87d0a687-17d1-5c05-aff3-4baeeb59b4ed
file	phs0001	UAT-CASE-596956	ICBI-000009-02	Tumor_1-set_1-label_116-frac_3-F20.wiff	TAR	damnant_quod_non_intellegunt	44666880	98948a5f75f85fcc310f272ddfe0763a	saltus_in_demonstrando	Pathological	barba_crescit_caput_nescit	dg.4DFC/57a9d0ca-c98b-57b0-ada1-73aedf43933d
file	phs0001	UAT-CASE-466813	ICBI-000009-01	Tumor_1-set_1-label_116-frac_2-F12.wiff.scan	TAR	salus_in_arduis	503068300	a471c825e0593b24f15550419fe810cd	damnant_quod_non_intellegunt	Pathological	saltus_in_demonstrando	dg.4DFC/bae670c0-d0af-5f09-ba5f-46d1eaabdadf
file	phs0001	UAT-CASE-466813	ICBI-000009-01	Tumor_1-set_1-label_116-frac_2-F12.wiff	TAR	sapiens_qui_prospicit	47345664	112c63df5b978717669cd5d1ccc0f86f	cacatum_non_est_pictum	Pathological	nascentes_morimur_finisque_ab_origine_pendet	dg.4DFC/ff42b865-3583-5960-942e-13933fd54a98
file	phs0001	UAT-CASE-466813	ICBI-000009-01	Tumor_1-set_1-label_116-frac_1-F4.wiff.scan	TAR	nanos_gigantum_humeris_insidentes	538020812	c3cdc40535aa162be521191b0ea4b65c	e_causa_ignota	Pathological	cacatum_non_est_pictum	dg.4DFC/514f3be2-d4b6-510f-9d38-c628cf7455f3
file	phs0001	UAT-CASE-466813	ICBI-000009-01	Tumor_1-set_1-label_116-frac_1-F4.wiff	TAR	Obedientia_civium_urbis_felicitas	47751168	c361b9e5e5d17517ce1cb8dbc4ae82fe	damnant_quod_non_intellegunt	Pathological	salus_in_arduis	dg.4DFC/2f295ae0-5fbb-54ef-92e4-cf18a14f46f1
file	phs0001	UAT-CASE-443098	ICBI-000008-02	Reference-set_1-label_121-frac_3-F24.wiff.scan	TAR	salus_in_arduis	444679512	db0d934c3466ec7e1597b5cd6736891e	nascentes_morimur_finisque_ab_origine_pendet	Pathological	haec_olim_meminisse_iuvabit	dg.4DFC/6f0e5b5b-936d-5392-94aa-cba1b9c1d34a
file	phs0001	UAT-CASE-443098	ICBI-000008-02	Reference-set_1-label_121-frac_3-F24.wiff	TAR	nascentes_morimur_finisque_ab_origine_pendet	43053056	bfab30f3ee2006236406e4efcf17148e	saltus_in_demonstrando	Pathological	cacatum_non_est_pictum	dg.4DFC/6ba54747-fc12-58a3-80e3-deeedc9240dc
file	phs0001	UAT-CASE-443098	ICBI-000008-02	Reference-set_1-label_121-frac_2-F16.wiff.scan	TAR	id_quod_plerumque_accidit	480713216	4e82389e0303cb97e54beba826b1ca56	scientia_et_labor	Pathological	e_causa_ignota	dg.4DFC/4fbe8652-3e84-5bd3-8b2a-f9512bf42e99
file	phs0001	UAT-CASE-443098	ICBI-000008-02	Reference-set_1-label_121-frac_2-F16.wiff	TAR	labor_ipse_voluptas	45051904	9f105cab31a686cfca0e997fb8f4c07a	scientia_et_labor	Pathological	scientia_imperii_decus_et_tutamen	dg.4DFC/3b25af2c-88d2-55ba-944e-3b933d840ef3
file	phs0001	UAT-CASE-778068	ICBI-000008-01	Reference-set_1-label_121-frac_1-F8.wiff.scan	TAR	scientia_imperii_decus_et_tutamen	516463332	2612e8bff59079d01a7bbb3d3c56f237	salus_in_arduis	Pathological	a_bene_placito	dg.4DFC/c444693f-0739-5ee6-ac28-6f3a5b4e74fe
file	phs0001	UAT-CASE-778068	ICBI-000008-01	Reference-set_1-label_121-frac_1-F8.wiff	TAR	damnant_quod_non_intellegunt	46391296	fbffb6eebc5a4ea3d9c8d438be11cc95	saltus_in_demonstrando	Pathological	cacatum_non_est_pictum	dg.4DFC/ebaa7f26-62bd-5d92-8d7d-7bc91fad87ef
file	phs0001	UAT-CASE-778068	ICBI-000008-01	Ctrl_3-set_1-label_115-frac_3-F19.wiff.scan	TAR	pace_tua	439981400	d104410eecb6f8af0959f33ba9f616e7	id_quod_plerumque_accidit	Pathological	e_causa_ignota	dg.4DFC/851b9507-cb88-5bd3-a4b7-ce64bb56a9b8
file	phs0001	UAT-CASE-778068	ICBI-000008-01	Ctrl_3-set_1-label_115-frac_3-F19.wiff	TAR	nascentes_morimur_finisque_ab_origine_pendet	42524672	f638486a2cbb1fc6af996aa9c4e965ed	pace_tua	Pathological	Obedientia_civium_urbis_felicitas	dg.4DFC/6f5ef327-9050-53fc-b44d-085665eb8613
file	phs0001	UAT-CASE-491664	ICBI-000007-02	Ctrl_3-set_1-label_115-frac_2-F11.wiff.scan	TAR	nanos_gigantum_humeris_insidentes	498205924	89057fbacb89e6fdc2ae47abe7f7ef5c	cacatum_non_est_pictum	Pathological	sapiens_qui_prospicit	dg.4DFC/d38b56ed-6334-5b94-81d2-d0bf4f0d0734
file	phs0001	UAT-CASE-491664	ICBI-000007-02	Ctrl_3-set_1-label_115-frac_2-F11.wiff	TAR	scientia_imperii_decus_et_tutamen	47026176	494cae18b04e416b0eefbbb1815cc49a	Macte_animo_Generose_puer_sic_itur_ad_astra	Pathological	pace_tua	dg.4DFC/f852d41b-982d-50e6-bd77-a1b5feb29408
file	phs0001	UAT-CASE-491664	ICBI-000007-02	Ctrl_3-set_1-label_115-frac_1-F3.wiff.scan	TAR	scientia_et_sapientia	497245496	e9156611ce020d9ec4376eb86c84a406	Obedientia_civium_urbis_felicitas	Pathological	a_bene_placito	dg.4DFC/8543be56-8198-5eb5-8e20-e501a459f214
file	phs0001	UAT-CASE-491664	ICBI-000007-02	Ctrl_3-set_1-label_115-frac_1-F3.wiff	TAR	scientia_et_sapientia	47710208	17c6040f79abaa246ea35c336f297d83	sapiens_qui_prospicit	Pathological	saltus_in_demonstrando	dg.4DFC/15675fb2-c588-5c5d-8bcc-36b98bdb3c3a
